exp_rep,exp_unit,treatment,stress,inoculant,rep,ag_biomass,ag_bl_adj
2,72,None-PSB_NF,none,PSB_NF,6,0.0719,0.0809
2,73,None-NF,none,NF,5,0.0312,0.0402
2,74,Nutrient-PSB,nutrient,PSB,5,0.0176,0.0266
2,75,Drought-PSB_NF,drought,PSB_NF,6,0.0076,0.0166
2,76,a1None-sterile water,none,a1water,4,0.0493,0.0583
2,77,Drought-PSB,drought,PSB,5,0.004,0.013
2,79,Drought-sterile water,drought,a1water,6,0.0079,0.0169
2,80,Drought-Commercial,drought,Lalrise,4,0.0025,0.0115
2,81,a1None-sterile water,none,a1water,5,0.0067,0.0157
2,82,a1None-sterile water,none,a1water,6,0.0318,0.0408
2,83,Nutrient-NF,nutrient,NF,6,0.0693,0.0783
2,84,Drought-Commercial,drought,Lalrise,5,0.0107,0.0197
2,85,Nutrient-Commercial,nutrient,Lalrise,6,0.0125,0.0215
2,86,None-NF,none,NF,6,0.0007,0.0097
2,87,None-Commercial,none,Lalrise,6,0.0744,0.0834
2,88,Drought-Commercial,drought,Lalrise,6,0.0075,0.0165
2,89,Nutrient-sterile water,nutrient,a1water,6,0.0239,0.0329
2,90,Nutrient-PSB,nutrient,PSB,6,0.0046,0.0136
3,1,None-NF,none,NF,1,0.0056,-0.0064
3,2,Nutrient-Commercial,nutrient,Lalrise,1,0.0292,0.0172
3,3,Drought-PSB,drought,PSB,1,0.0099,-0.0021
3,4,Drought-NF,drought,NF,1,0.0462,0.0342
3,5,None-Commercial,none,Lalrise,1,0.0036,-0.0084
3,6,Drought-PSB,drought,PSB,2,0.0036,-0.0084
3,7,Nutrient-Commercial,nutrient,Lalrise,2,0.0297,0.0177
3,8,Drought-PSB_NF,drought,PSB_NF,1,0.0146,0.0026
3,9,Drought-PSB_NF,drought,PSB_NF,2,0.0037,-0.0083
3,10,Nutrient-PSB,nutrient,PSB,1,0.0049,-0.0071
3,12,Nutrient-NF,nutrient,NF,1,0.0235,0.0115
3,13,Nutrient-NF,nutrient,NF,2,0.0431,0.0311
3,14,Nutrient-NF,nutrient,NF,3,0.0336,0.0216
3,15,None-PSB,none,PSB,1,0.0157,0.0037
3,16,Drought-sterile water,drought,a1water,1,0.0014,-0.0106
3,17,Drought-sterile water,drought,a1water,2,0.0121,1.00E-04
3,18,Nutrient-PSB_NF,nutrient,PSB_NF,1,0.0348,0.0228
3,19,None-NF,none,NF,2,0.0039,-0.0081
3,20,Drought-PSB,drought,PSB,3,0.0069,-0.0051
3,21,None-PSB_NF,none,PSB_NF,1,0.0455,0.0335
3,22,None-Commercial,none,Lalrise,3,0.0443,0.0323
3,24,None-NF,none,NF,3,0.0701,0.0581
3,25,Drought-NF,drought,NF,2,0.0143,0.0023
3,26,Nutrient-Commercial,nutrient,Lalrise,3,0.0396,0.0276
3,27,Nutrient-sterile water,nutrient,a1water,1,0.0529,0.0409
3,28,Drought-NF,drought,NF,3,0.029,0.017
3,29,Drought-PSB,drought,PSB,4,0.01,-0.002
3,30,None-Commercial,none,Lalrise,4,0.0162,0.0042
3,31,a1None-sterile water,none,a1water,1,0.0335,0.0215
3,32,a1None-sterile water,none,a1water,2,0.0312,0.0192
3,33,a1None-sterile water,none,a1water,3,0.0279,0.0159
3,34,Nutrient-NF,nutrient,NF,4,0.0568,0.0448
3,35,None-PSB,none,PSB,2,0.0306,0.0186
3,36,Drought-NF,drought,NF,4,0.0079,-0.0041
3,37,Nutrient-sterile water,nutrient,a1water,2,0.0377,0.0257
3,38,Drought-Commercial,drought,Lalrise,1,0.0479,0.0359
3,39,Drought-sterile water,drought,a1water,3,0.0178,0.0058
3,40,Drought-sterile water,drought,a1water,4,0.0095,-0.0025
3,41,Drought-PSB_NF,drought,PSB_NF,3,0.02,0.008
3,42,None-PSB,none,PSB,3,0.0723,0.0603
3,43,Nutrient-PSB,nutrient,PSB,3,0.0529,0.0409
3,44,Nutrient-PSB_NF,nutrient,PSB_NF,2,0.0671,0.0551
3,45,a1None-sterile water,none,a1water,4,0.0462,0.0342
3,46,None-Commercial,none,Lalrise,5,0.073,0.061
3,48,Nutrient-PSB,nutrient,PSB,4,0.027,0.015
3,49,Nutrient-sterile water,nutrient,a1water,3,0.0881,0.0761
3,50,Nutrient-PSB,nutrient,PSB,5,0.0173,0.0053
3,51,None-NF,none,NF,4,0.0654,0.0534
3,52,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0681,0.0561
3,53,Drought-sterile water,drought,a1water,5,0.0167,0.0047
3,54,Nutrient-PSB,nutrient,PSB,6,0.0959,0.0839
3,55,None-PSB_NF,none,PSB_NF,2,0.0345,0.0225
3,56,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.0982,0.0862
3,57,Drought-NF,drought,NF,5,0.0202,0.0082
3,58,Drought-PSB_NF,drought,PSB_NF,4,0.0489,0.0369
3,59,None-PSB,none,PSB,4,0.0826,0.0706
3,60,None-PSB_NF,none,PSB_NF,3,0.0377,0.0257
3,61,Nutrient-PSB_NF,nutrient,PSB_NF,5,0.0019,-0.0101
3,62,Nutrient-NF,nutrient,NF,5,0.084,0.072
3,63,Nutrient-Commercial,nutrient,Lalrise,4,0.0365,0.0245
3,64,None-PSB,none,PSB,5,0.1019,0.0899
3,65,a1None-sterile water,none,a1water,6,0.0396,0.0276
3,66,None-NF,none,NF,5,0.0789,0.0669
3,67,Nutrient-sterile water,nutrient,a1water,4,0.0773,0.0653
3,68,Nutrient-NF,nutrient,NF,6,0.0648,0.0528
3,69,None-NF,none,NF,6,0.0434,0.0314
3,70,Nutrient-PSB_NF,nutrient,PSB_NF,6,0.011,-0.001
3,71,Drought-sterile water,drought,a1water,6,0.0229,0.0109
3,72,Nutrient-Commercial,nutrient,Lalrise,5,0.0259,0.0139
3,73,Nutrient-sterile water,nutrient,a1water,5,0.0025,-0.0095
3,74,None-PSB,none,PSB,6,0.132,0.12
3,75,Nutrient-Commercial,nutrient,Lalrise,6,0.0122,0.0002
3,76,None-Commercial,none,Lalrise,6,0.0334,0.0214
3,78,Drought-NF,drought,NF,6,0.0421,0.0301
3,79,None-PSB_NF,none,PSB_NF,4,0.0558,0.0438
3,80,Drought-PSB_NF,drought,PSB_NF,5,0.0115,-0.0005
3,81,None-PSB_NF,none,PSB_NF,5,0.0815,0.0695
3,82,Drought-Commercial,drought,Lalrise,2,0.0442,0.0322
3,83,Drought-Commercial,drought,Lalrise,3,0.0294,0.0174
3,85,Drought-PSB_NF,drought,PSB_NF,6,0.0054,-0.0066
3,86,Drought-PSB,drought,PSB,5,0.0207,0.0087
3,87,Drought-Commercial,drought,Lalrise,5,0.0155,0.0035
3,88,None-PSB_NF,none,PSB_NF,6,0.0961,0.0841
3,89,Drought-Commercial,drought,Lalrise,6,0.0138,0.0018
3,90,Drought-PSB,drought,PSB,6,0.0186,0.0066
